Month,Region,Fulfilment,Status,Sales_Outcome,Total_Orders,Total_Units,Total_Revenue
2022-03,ANDHRA PRADESH,Amazon,Shipped,Operational / Successful,4,4,2623.0
2022-03,ANDHRA PRADESH,Merchant,Shipped - Delivered to Buyer,Operational / Successful,1,1,998.0
2022-03,BIHAR,Amazon,Shipped,Operational / Successful,5,5,3638.0
2022-03,BIHAR,Merchant,Shipped - Delivered to Buyer,Operational / Successful,1,1,999.0
2022-03,CHANDIGARH,Amazon,Shipped,Operational / Successful,1,1,353.0
2022-03,CHHATTISGARH,Amazon,Shipped,Operational / Successful,1,1,899.0
2022-03,DELHI,Amazon,Shipped,Operational / Successful,9,10,7424.0
2022-03,GOA,Amazon,Shipped,Operational / Successful,1,1,542.0
2022-03,Gujarat,Amazon,Shipped,Operational / Successful,7,8,4145.0
2022-03,Gujarat,Merchant,Shipped - Delivered to Buyer,Operational / Successful,1,1,446.0
2022-03,HARYANA,Amazon,Shipped,Operational / Successful,4,6,2981.0
2022-03,HARYANA,Merchant,Cancelled,Revenue At Risk,1,0,416.19
2022-03,JAMMU & KASHMIR,Merchant,Cancelled,Revenue At Risk,1,0,724.76
2022-03,JHARKHAND,Amazon,Shipped,Operational / Successful,1,1,599.0
2022-03,JHARKHAND,Merchant,Shipped - Delivered to Buyer,Operational / Successful,1,1,499.0
2022-03,KARNATAKA,Amazon,Cancelled,Revenue At Risk,2,1,698.0
2022-03,KARNATAKA,Amazon,Shipped,Operational / Successful,18,20,12011.0
2022-03,KARNATAKA,Merchant,Cancelled,Revenue At Risk,1,0,471.43
2022-03,KARNATAKA,Merchant,Shipped - Delivered to Buyer,Operational / Successful,1,1,364.0
2022-03,KERALA,Amazon,Shipped,Operational / Successful,4,6,3280.0
2022-03,KERALA,Merchant,Cancelled,Revenue At Risk,2,0,1449.52
2022-03,KERALA,Merchant,Shipped - Delivered to Buyer,Operational / Successful,1,1,248.0
2022-03,MADHYA PRADESH,Amazon,Cancelled,Revenue At Risk,1,0,0.0
2022-03,MADHYA PRADESH,Amazon,Shipped,Operational / Successful,1,1,499.0
2022-03,MAHARASHTRA,Amazon,Cancelled,Revenue At Risk,3,2,2211.0
2022-03,MAHARASHTRA,Amazon,Shipped,Operational / Successful,20,20,13426.0
2022-03,MAHARASHTRA,Merchant,Shipped - Delivered to Buyer,Operational / Successful,1,1,730.0
2022-03,ODISHA,Amazon,Shipped,Operational / Successful,4,6,3073.0
2022-03,RAJASTHAN,Amazon,Shipped,Operational / Successful,2,2,1022.0
2022-03,RAJASTHAN,Merchant,Shipped - Delivered to Buyer,Operational / Successful,1,1,490.0
2022-03,TAMIL NADU,Amazon,Shipped,Operational / Successful,10,11,6173.0
2022-03,TAMIL NADU,Merchant,Cancelled,Revenue At Risk,1,0,360.95
